region,technology,city,state,value,match_method,distance_km
p1,Coal_new,Seattle,Washington,1.21,within,0.0
p1,Coal_95%-CCS,Seattle,Washington,1.21,within,0.0
p1,Coal_99%-CCS,Seattle,Washington,1.21,within,0.0
p1,Coal_Retrofits_95%-CCS,Seattle,Washington,1.21,within,0.0
p1,Coal_Retrofits_90%-CCS,Seattle,Washington,1.21,within,0.0
p1,Combustion Turbine - Simple Cycle (Aeroderivative),Seattle,Washington,1.12,within,0.0
p1,NaturalGas_Combustion Turbine,Seattle,Washington,1.15,within,0.0
p1,NaturalGas_F-Frame CT,Seattle,Washington,1.15,within,0.0
p1,NaturalGas_Combined Cycle 2-on-1,Seattle,Washington,1.16,within,0.0
p1,NaturalGas_F-Frame CC,Seattle,Washington,1.16,within,0.0
p1,NaturalGas_H-Frame CC,Seattle,Washington,1.16,within,0.0
p1,NaturalGas_Combined Cycle 1-on-1,Seattle,Washington,1.15,within,0.0
p1,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 95% CCS,Seattle,Washington,1.18,within,0.0
p1,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 97% CCS,Seattle,Washington,1.18,within,0.0
p1,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 95% CCS,Seattle,Washington,1.18,within,0.0
p1,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 97% CCS,Seattle,Washington,1.18,within,0.0
p1,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 95% CCS,Seattle,Washington,1.18,within,0.0
p1,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 97% CCS,Seattle,Washington,1.18,within,0.0
p1,NaturalGas_F-Frame CC 95% CCS,Seattle,Washington,1.18,within,0.0
p1,NaturalGas_H-Frame CC 95% CCS,Seattle,Washington,1.18,within,0.0
p1,NaturalGas_F-Frame CC 97% CCS,Seattle,Washington,1.18,within,0.0
p1,NaturalGas_H-Frame CC 97% CCS,Seattle,Washington,1.18,within,0.0
p1,Biopower_Dedicated,Seattle,Washington,1.2,within,0.0
p1,Nuclear_Nuclear,Seattle,Washington,1.17,within,0.0
p1,Nuclear_Nuclear - Large,Seattle,Washington,1.17,within,0.0
p1,Nuclear_SMR,Seattle,Washington,1.12,within,0.0
p1,Nuclear_Nuclear - Small,Seattle,Washington,1.12,within,0.0
p1,Geothermal,Seattle,Washington,1.13,within,0.0
p1,Hydropower,Seattle,Washington,1.17,within,0.0
p1,Pumped Storage Hydropower,Seattle,Washington,1.17,within,0.0
p1,LandBasedWind,Seattle,Washington,1.16,within,0.0
p1,Onshore Wind Repowering/Retrofit,Seattle,Washington,1.12,within,0.0
p1,OffshoreWind,Seattle,Washington,1.16,within,0.0
p1,UtilityPV,Seattle,Washington,1.09,within,0.0
p1,Solar PV w/ Single Axis Tracking + AC Coupled Battery Storage,Seattle,Washington,1.09,within,0.0
p1,"Solar PV, Single-Axis Tracking (1.6 ILR) with Battery Hybrid",Seattle,Washington,1.09,within,0.0
p1,Battery_,Seattle,Washington,1.08,within,0.0
p1,Utility-Scale Battery Storage,Seattle,Washington,1.08,within,0.0
p10,Coal_new,Bakersfield,California,1.31,within,0.0
p10,Coal_95%-CCS,Bakersfield,California,1.24,within,0.0
