ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg
p56,SPP,SPP,SPP_South,West_South_Central,AR,eastern,AR,USA,delta-states,Delta,SPP,p56
p57,SPP,SPP,SPP_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,SPP,p57
p58,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,Delta,MISO,p58
p66,MISO,MISO,MISO_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,MISO,p66
p68,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p68
p69,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,p69
p70,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,p70
p71,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p71
p72,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p72
p73,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p73
p74,MISO,MISO,MISO_North,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,MISO,p74
p75,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p75
p76,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p76
p77,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p77
p78,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p78
p79,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p79
p80,PJM,PJM,PJM_West,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,PJM,p80
p81,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,MISO,p81
p82,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,MISO,p82
p83,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,MISO,p83
p84,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p84
p85,MISO,MISO,MISO_South,West_South_Central,AR,eastern,AR,USA,delta-states,Delta,MISO,p85
p86,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,Delta,MISO,p86
p87,MISO,MISO,MISO_South,East_South_Central,MS,eastern,MS,USA,delta-states,Delta,MISO,p87
p88,SERC_C,SERTP,SERTP,East_South_Central,MS,eastern,MS,USA,delta-states,Delta,Tennessee_Valley_Authority,p88
p89,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,Southeast,Southern_Co_Services_Inc,p89
p90,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,Southeast,PowerSouth_Energy_Coop,p90
p91,SERC_SE,SERTP,SERTP,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Southern_Co_Services_Inc,p91
p92,SERC_C,SERTP,SERTP,East_South_Central,TN,eastern,TN,USA,appalachia,Southeast,Tennessee_Valley_Authority,p92
p93,SERC_C,SERTP,SERTP,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,Tennessee_Valley_Authority,p93
p94,SERC_SE,SERTP,SERTP,South_Atlantic,GA,eastern,GA,USA,southeast,Southeast,Southern_Co_Services_Inc,p94
p95,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,Southeast,Duke_Energy_Carolinas_LLC,p95
p96,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,Southeast,South_Carolina_Electric_Gas_Co,p96
p97,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Carolinas_LLC,p97
p98,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Progress_East,p98
p99,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p99
p100,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p100
p101,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Seminole_Electric_Coop_Inc,p101
p102,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Florida_Power_and_Light,p102
p103,MISO,MISO,MISO_Central,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,MISO,p103
p104,PJM,PJM,PJM_West,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,PJM,p104
p105,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,p105
p106,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,p106
p107,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,p107
p108,MISO,MISO,MISO_Central,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,MISO,p108
p109,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,p109
p110,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,p110
p111,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p111
p112,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p112
p113,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p113
p114,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p114
p115,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,p115
p116,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,p116
p117,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,p117
p118,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p118
p119,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,z122
p120,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,p120
p121,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,p121
p122,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,z122
p123,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,p123
p124,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p124
p125,PJM,PJM,PJM_East,South_Atlantic,DE,eastern,DE,USA,northeast,MidAtlantic,PJM,p125
p126,PJM,PJM,PJM_East,Mid_Atlantic,NJ,eastern,NJ,USA,northeast,MidAtlantic,PJM,p126
p127,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,p127
p128,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,p128
p129,NPCC_NE,ISONE,ISONE,New_England,VT,eastern,VT,USA,northeast,NewEngland,ISONE,p129
p130,NPCC_NE,ISONE,ISONE,New_England,NH,eastern,NH,USA,northeast,NewEngland,ISONE,p130
p131,NPCC_NE,ISONE,ISONE,New_England,MA,eastern,MA,USA,northeast,NewEngland,ISONE,p131
p132,NPCC_NE,ISONE,ISONE,New_England,CT,eastern,CT,USA,northeast,NewEngland,ISONE,p132
p133,NPCC_NE,ISONE,ISONE,New_England,RI,eastern,RI,USA,northeast,NewEngland,ISONE,p133
p134,NPCC_NE,ISONE,ISONE,New_England,ME,eastern,ME,USA,northeast,NewEngland,ISONE,p134
